Algorithm,Setup,Trial1,Trial2,Trial3,Trial4,Trial5,Mean
hc,combination,310,313,313,320,312,313.6
hc,coverage,5,6,5,6,5,5.4
hc,none,1,1,1,1,1,1.0
hc,regular,447,377,346,366,378,382.8
maxmatching,combination,84,126,143,132,152,127.4
maxmatching,coverage,6,6,6,7,7,6.4
maxmatching,none,1,1,1,1,1,1.0
maxmatching,regular,154,155,154,154,154,154.2
stpl,combination,622,519,393,349,666,509.8
stpl,coverage,6,6,7,7,7,6.6
stpl,none,1,1,1,1,1,1.0
stpl,regular,779,983,1736,1153,914,1113.0
scc,combination,151,173,194,196,214,185.6
scc,coverage,3,4,2,3,3,3.0
scc,none,1,1,1,1,1,1.0
scc,regular,214,208,223,179,194,203.6
jaccardsimilarity,combination,30,28,31,39,36,32.8
jaccardsimilarity,coverage,3,3,3,3,3,3.0
jaccardsimilarity,none,1,1,1,1,1,1.0
jaccardsimilarity,regular,38,30,41,43,57,41.8
mst,combination,4971,4411,828,858,3828,2979.2
mst,coverage,2,2,3,3,3,2.6
mst,none,1,1,1,1,1,1.0
mst,regular,11099,11061,10567,10828,11079,10926.8
bcc,combination,283,284,278,299,295,287.8
bcc,coverage,3,4,3,3,3,3.2
bcc,none,1,1,1,1,1,1.0
bcc,regular,293,299,299,295,286,294.4
maxfv,combination,775,756,672,833,548,716.8
maxfv,coverage,11,6,7,7,9,8.0
maxfv,none,1,1,1,1,1,1.0
maxfv,regular,1793,1421,1265,1365,1215,1411.8
adamicadar,combination,350,717,551,299,499,483.2
adamicadar,coverage,3,2,2,2,3,2.4
adamicadar,none,1,1,1,1,1,1.0
adamicadar,regular,1206,1374,658,1097,840,1035.0
