Algorithm,Setup,Trial1,Trial2,Trial3,Trial4,Trial5,Mean
hc,combination,7843,9687,8829,8811,7759,8585.8
hc,coverage,7902,9845,8545,8547,7901,8548.0
hc,none,17174684,16467854,16966593,16939282,17210713,16951825.2
hc,regular,176407,136325,96473,81251,142156,126522.4
maxmatching,combination,11923,17676,13966,20776,237635,60395.2
maxmatching,coverage,11849,18072,13840,19934,40013,20741.6
maxmatching,none,17499254,16172868,17525018,15775118,23328895,18060230.6
maxmatching,regular,3633616,3109782,3581162,3100193,3788304,3442611.4
stpl,combination,38606,16766,12189,4763,10327,16530.2
stpl,coverage,25692,18030,11823,27247,19909,20540.2
stpl,none,7895275,7168618,7742758,8052601,7039630,7579776.4
stpl,regular,36701,26835,64605,64042,27876,44011.8
scc,combination,5297,5944,10983,8534,5356,7222.8
scc,coverage,18071,19935,37053,40011,11850,25384.0
scc,none,17003873,16793991,19641819,25274296,18360621,19414920.0
scc,regular,12596,11193,14289,11464,8783,11665.0
jaccardsimilarity,combination,8056,8356,9598,10251,27336,12719.4
jaccardsimilarity,coverage,11846,25567,15376,16425,14175,16677.8
jaccardsimilarity,none,1954220,1851124,1852097,1840267,1898369,1879215.4
jaccardsimilarity,regular,8222,18196,167197,9422,74749,55557.2
mst,combination,28895,28346,24784,24818,27765,26921.6
mst,coverage,13965,12375,12376,9846,13967,12505.8
mst,none,13788855,12904705,12901582,13770900,13782318,13429672.0
mst,regular,1230840,1291869,1102868,1044617,1108793,1155797.4
bcc,combination,19445,21163,19440,21174,21175,20479.4
bcc,coverage,19197,20910,19196,20910,20910,20224.6
bcc,none,24869182,23647795,24681329,23586471,23722246,24101404.6
bcc,regular,3239125,2817743,3078943,2968112,2706024,2961989.4
maxfv,combination,20245,20239,23641,29834,30459,24883.6
maxfv,coverage,20311,21097,21103,20325,20333,20633.8
maxfv,none,9546212,9709844,9649903,9577783,9549415,9606631.4
maxfv,regular,139032,156392,145886,135641,136992,142788.6
adamicadar,combination,14286,10358,10968,10387,10145,11228.8
adamicadar,coverage,19191,13868,13840,13874,13869,14928.4
adamicadar,none,20337661,19086200,17127271,19139436,19088258,18955765.2
adamicadar,regular,48552,47814,54230,47646,45500,48748.4
